"","group","Nspp","Supporting_edge_length","Nearest_neighbour_node_distance","Descendent_edge_length"
"1724","Perognathus longimembris",1,0.0233059401942854,0.0466118803885709,0
"1725","Perognathus merriami",1,0.0233059401942854,0.0466118803885709,0
"1726","Perognathus parvus",1,0.0233059401942854,0.0466118803885709,0
"1727","Perognathus xanthanotus",1,0.0233059401942854,0.0466118803885709,0
"1728","Chaetodipus formosus|Chaetodipus arenarius|Chaetodipus baileyi|Chaetodipus hispidus|Chaetodipus pernix|Chaetodipus californicus|Chaetodipus penicillatus|Chaetodipus spinatus|Chaetodipus fallax|Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus|Chaetodipus goldmani|Chaetodipus artus",14,0.0157352207681163,0.0388927154834572,0.261115597463364
"1729","Chaetodipus formosus",1,0.0307282141415101,0.0342909056361779,0
"1730","Chaetodipus arenarius|Chaetodipus baileyi|Chaetodipus hispidus|Chaetodipus pernix|Chaetodipus californicus|Chaetodipus penicillatus|Chaetodipus spinatus|Chaetodipus fallax|Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus|Chaetodipus goldmani|Chaetodipus artus",13,0.00356269149466784,0.0342909056361779,0.214652162553737
"1731","Chaetodipus arenarius|Chaetodipus pernix|Chaetodipus californicus|Chaetodipus penicillatus|Chaetodipus spinatus|Chaetodipus fallax|Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus|Chaetodipus goldmani|Chaetodipus artus",11,0.0044533643683348,0.0233059401942854,0.175611001591336
"1732","Chaetodipus arenarius",1,0.0227121582785075,0.0241966130679524,0
"1733","Chaetodipus pernix|Chaetodipus californicus|Chaetodipus penicillatus|Chaetodipus spinatus|Chaetodipus fallax|Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus|Chaetodipus goldmani|Chaetodipus artus",10,0.00148445478944493,0.0241966130679524,0.148445478944493
"1734","Chaetodipus pernix|Chaetodipus penicillatus|Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus|Chaetodipus goldmani|Chaetodipus artus",7,0.00296890957888987,0.00578937367883524,0.0892157328456405
