"Status","Order","Family","Genus","Binomial","Log_mass","Combined_mass","Ancestral.mass","Mass.change"
"extant","Rodentia","Muridae","Neacomys","Neacomys guianae",1.15,14.2,2.788125,1.638125
"extant","Primates","Callitrichidae","Saguinus","Saguinus geoffroyi",2.69,486.5,4.338,1.648
"extant","Rodentia","Muridae","Calomys","Calomys tener",1.14,13.8,2.788125,1.648125
"extant","Artiodactyla","Bovidae","Neotragus","Neotragus pygmaeus",3.6,4000,5.24904761904762,1.64904761904762
"extant","Diprotodontia","Phalangeridae","Trichosurus","Trichosurus arnhemensis",3.11,1300,4.76243902439024,1.65243902439024
"extant","Diprotodontia","Potoroidae","Bettongia","Bettongia penicillata",3.11,1300,4.76243902439024,1.65243902439024
"extant","Diprotodontia","Psuedocheiridae","Petauroides","Petauroides volans",3.11,1300,4.76243902439024,1.65243902439024
"extant","Carnivora","Mustelidae","Mustela","Mustela putorius",2.95,915.4,4.60282608695652,1.65282608695652
"extant","Carnivora","Procyonidae","Bassariscus","Bassariscus sumichrasti",2.95,900,4.60282608695652,1.65282608695652
"extant","Primates","Callitrichidae","Callimico","Callimico goeldii",2.68,480,4.338,1.658
"extant","Rodentia","Muridae","Malacothrix","Malacothrix typica",1.13,13.4,2.788125,1.658125
"extant","Rodentia","Muridae","Mus","Mus triton",1.13,13.6,2.788125,1.658125
"extant","Rodentia","Muridae","Microryzomys","Microryzomys altissimus",1.13,13.5,2.788125,1.658125
"extant","Rodentia","Muridae","Microryzomys","Microryzomys minutus",1.13,13.5,2.788125,1.658125
"extant","Diprotodontia","Macropodidae","Lagorchestes","Lagorchestes hirsutus",3.1,1265,4.76243902439024,1.66243902439024
"extant","Diprotodontia","Macropodidae","Petrogale","Petrogale burbidgei",3.1,1258,4.76243902439024,1.66243902439024
"extant","Primates","Callitrichidae","Saguinus","Saguinus bicolor",2.67,465,4.338,1.668
"extant","Rodentia","Muridae","Gerbillus","Gerbillus amoenus",1.12,13.2,2.788125,1.668125
"extant","Carnivora","Mustelidae","Mustela","Mustela nigripes",2.93,850,4.60282608695652,1.67282608695652
"extant","Primates","Callitrichidae","Saguinus","Saguinus nigricollis",2.66,462,4.338,1.678
"extant","Rodentia","Muridae","Mus","Mus spretus",1.11,12.8,2.788125,1.678125
"extant","Rodentia","Muridae","Peromyscus","Peromyscus polionotus",1.11,13,2.788125,1.678125
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys brevirostris",1.11,12.9,2.788125,1.678125
"extant","Rodentia","Muridae","Akodon","Akodon bogotensis",1.11,13,2.788125,1.678125
