"taxon","clade","node","preceding.node","mass.node","mass.preceding.node","mass.change","edge.length","mass.by.edge"
"Histiotus macrotus|Histiotus velatus|Glischropus tylopus|Ia io|Vespertilio murinus|Vespertilio superans|Philetor brachypterus|Mimetillus moloneyi|Pipistrellus hesperus|Eptesicus vulturnus|Eptesicus douglasorum|Eptesicus regulus|Eptesicus pumilus|Eptesicus sagittula|Pipistrellus crassulus|Pipistrellus rueppelli|Pipistrellus nanulus|Scotoecus albofuscus|Scotoecus hirundo|Pipistrellus pulveratus|Myotis dasycneme|Myotis californicus|Myotis leibii|Myotis altarium|Myotis brandti|Myotis mystacinus|Myotis frater|Myotis nigricans|Myotis nesopolus|Myotis elegans|Myotis keaysi|Myotis sodalis|Myotis annectans|Myotis muricola|Myotis ridleyi|Myotis rosseti|Myotis siligorensis|Myotis emarginatus|Myotis tricolor|Myotis nattereri|Myotis thysanodes|Myotis blythii|Myotis myotis|Myotis bechsteini|Myotis auriculus|Myotis evotis|Myotis keenii|Myotis formosus|Myotis welwitschii|Myotis grisescens|Myotis volans|Myotis fortidens|Myotis macrotarsus|Myotis vivesi|Myotis austroriparius|Myotis oxyotus|Myotis montivagus|Myotis riparius|Myotis ruber|Myotis lucifugus|Myotis albescens|Myotis levis|Myotis macrodactylus|Myotis daubentoni|Myotis capaccinii|Myotis velifer|Myotis bocagei|Myotis adversus|Myotis horsfieldii|Myotis hasseltii|Myotis yumanensis|Pipistrellus tasmaniensis|Nyctophilus timoriensis|Nyctophilus gouldi|Nyctophilus walkeri|Nyctophilus microtis|Nyctophilus arnhemensis|Nyctophilus geoffroyi|Chalinolobus dwyeri|Chalinolobus gouldii|Chalinolobus nigrogriseus|Chalinolobus morio|Pipistrellus imbricatus|Pipistrellus arabicus|Pipistrellus nanus|Pipistrellus cadornae|Pipistrellus bodenheimeri|Pipistrellus savii|Eptesicus bobrinskoi|Eptesicus nilssoni|Eptesicus nasutus|Eptesicus diminutus|Eptesicus serotinus|Eptesicus fuscus|Eptesicus furinalis|Eptesicus hottentotus|Eptesicus brasiliensis|Eptesicus bottae|Eptesicus pachyotis|Eptesicus demissus|Eptesicus tenuipinnis|Eptesicus flavescens|Eptesicus rendalli|Eptesicus capensis|Eptesicus somalicus|Lasiurus ega|Lasiurus intermedius|Lasiurus cinereus|Lasiurus castaneus|Lasiurus borealis|Lasiurus seminolus|Chalinolobus gleni|Chalinolobus kenyacola|Chalinolobus poensis|Chalinolobus variegatus|Chalinolobus beatrix|Chalinolobus argentatus|Nycticeius rueppellii|Tylonycteris pachypus|Tylonycteris robustula|Pipistrellus stenopterus|Nycticeius humeralis|Lasionycteris noctivagans|Pipistrellus circumdatus|Nycticeius schlieffeni|Nycticeius balstoni|Nycticeius greyii|Nycticeius sanborni|Scotomanes ornatus|Scotophilus leucogaster|Scotophilus dinganii|Scotophilus nux|Scotophilus borbonicus|Scotophilus viridis|Scotophilus kuhlii|Scotophilus nigrita|Scotophilus heathi|Antrozous dubiaquercus|Antrozous pallidus|Nyctalus leisleri|Nyctalus noctula|Nyctalus lasiopterus|Barbastella barbastellus|Barbastella leucomelas|Euderma maculatum|Idionycteris phyllotis|Plecotus rafinesquii|Plecotus mexicanus|Plecotus townsendii|Plecotus austriacus|Plecotus auritus|Pipistrellus eisentrauti|Laephotis botswanae|Laephotis wintoni|Hesperoptenus blanfordi|Hesperoptenus tickelli|Pipistrellus kuhlii|Pipistrellus rusticus|Pipistrellus ceylonicus|Pipistrellus nathusii|Pipistrellus pipistrellus|Pipistrellus tenuis|Pipistrellus mimus|Pipistrellus coromandra|Pipistrellus babu|Pipistrellus javanicus|Pipistrellus subflavus|Harpiocephalus harpia|Murina huttoni|Murina aenea|Murina cyclotis|Murina suilla|Murina leucogaster|Murina tubinaris|Murina florium|Kerivoula atrox|Kerivoula papuensis|Kerivoula argentata|Kerivoula lanosa|Kerivoula flora|Kerivoula papillosa|Kerivoula whiteheadi|Kerivoula minuta|Kerivoula picta|Kerivoula hardwickei|Kerivoula phalaena|Kerivoula muscina|Kerivoula pellucida|Pipistrellus dormeri","Failed taxon resolution",5676,5667,11.6427067836622,11.4530187417548,-0.189688041907385,28.2,0.0067265263087725
"Chalinolobus kenyacola","Chalinolobus kenyacola",2627,5792,7,7.05,0.0499999999999989,7.1,0.00704225352112661
"Chalinolobus poensis","Chalinolobus poensis",2628,5792,7.1,7.05,-0.0500000000000007,7.1,0.00704225352112686
"Miniopterus tristis|Miniopterus fraterculus|Miniopterus fuscus|Miniopterus pusillus|Miniopterus minor|Miniopterus australis|Miniopterus schreibersi|Miniopterus inflatus|Miniopterus magnater","Miniopterus",5668,5667,11.1882905115899,11.4530187417548,0.264728230164888,37,0.00715481703148346
"Miniopterus magnater","Miniopterus magnater",2553,5675,14.1,14.15,0.0499999999999989,6.5,0.00769230769230753
"Miniopterus inflatus","Miniopterus inflatus",2552,5675,14.2,14.15,-0.0500000000000007,6.5,0.0076923076923078
"Natalus stramineus","Natalus stramineus",2378,5987,5.5,5.6,0.0999999999999996,12.3,0.00813008130081298
"Natalus tumidirostris","Natalus tumidirostris",2379,5987,5.7,5.6,-0.100000000000001,12.3,0.00813008130081305
"Histiotus macrotus","Histiotus macrotus",2589,5678,11,11.1,0.0999999999999996,11.4,0.00877192982456137
"Histiotus velatus","Histiotus velatus",2590,5678,11.2,11.1,-0.0999999999999996,11.4,0.00877192982456137
